,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Pomona Sprout,0.06708595387840671,220,0.00044303451957661337,0.4708647205003811,0.0624802981065745,0.0010510277659552592
Barry Ryan,0.04821802935010482,104,0.003554306149622344,0.45268281545135647,0.03361584275139478,0.0010224196758888571
Blaise Zabini,0.041928721174004195,165,0.0001718434258834271,0.4504528508432217,0.04041702814288454,0.0009602946552206577
Mark Evans,0.060796645702306085,214,0.00031804486688382684,0.4618279228342121,0.052713086879099404,0.001096616318329951
Helena Ravenclaw,0.01886792452830189,66,2.9825747402290628e-05,0.43878084799027833,0.018507179607345672,0.0005346562528956251
Morfin Gaunt,0.020964360587002098,139,5.89865583579057e-05,0.4362687438987309,0.013713136730533367,0.0010430542303613386
Kendra Dumbledore,0.03773584905660378,112,0.0001499094156622331,0.4531314604617146,0.033948155025363747,0.0008045007118996026
Merope Riddle,0.008385744234800839,72,0.0,0.4329636776570739,0.010505927094342702,0.0005568610759117225
Zacharias Smith,0.05450733752620546,134,0.00033409990420664454,0.46089681815107864,0.048210724741952045,0.0008450516200738374
Errol,0.02725366876310273,94,9.119654613827364e-05,0.4434623119358584,0.028395835856162316,0.0006063582879601714
Alicia Spinnet,0.08385744234800839,216,0.0007323395036482683,0.46417222701103555,0.0650634863545781,0.0013565376431249215
Bob Ogden,0.010482180293501049,58,1.1010693585610345e-06,0.4329636776570739,0.009896070618568557,0.0006101574747510369
Corban Yaxley,0.04612159329140461,139,0.001365093806225866,0.4590458269135241,0.03861739312935362,0.0009841828694104133
Aragog,0.020964360587002098,111,1.5879339555975864e-05,0.44824474863320585,0.025047134393434135,0.000643119975944232
Muriel,0.060796645702306085,169,0.0014775768084700836,0.4674945231143865,0.05129860959491092,0.0010843855255786147
Nicolas Flamel,0.025157232704402517,104,0.005731198186132694,0.44868463553078514,0.023647397339492348,0.0010131058410061823
